Title,Year,City,Country,ProShot,Video,Full,Link,Comment
Madrid 2014,2014,Madrid,Spain,No,Yes,Yes,https://www.youtube.com/playlist?list=PLuafZ65Sjm1mtEeDL7vPsUynFeMyPflFr,
Live Rock Am Ring 2015 ,2015,Nürburg,Germany,Yes,Yes,Yes,https://www.youtube.com/watch?v=llczxqDLQsU,
Hellfest 2015,2015,Clisson,France,Yes,Yes,Yes,https://www.youtube.com/watch?v=_IVbZnhrBz0,
Live @ Wacken 2015 HD AC3,2015,Wacken ,Germany,Yes,Yes,Yes,https://www.youtube.com/playlist?list=PLPit2sEaRAkKPFAKZUNlAbBBHJ76xCsyV,
Live at Hellfest 2017,2017,Clisson,France,Yes,Yes,Yes,https://www.youtube.com/watch?v=0Nf-WP36UfM,
Chile 2017,2017,Santiago,Chile,No,Yes,Yes,https://www.youtube.com/watch?v=QvdASJPvl5I,
Consert - 18.11.2017,2017,Oslo Spektrum,Norway,No,Yes,Yes,https://www.youtube.com/watch?v=5IXR1tuOtzc,
@ Bogotá 15 Oct 2017,2017,Bogotá,Colombia,No,Yes,Yes,https://www.youtube.com/watch?v=35w67N6Y37g,
@São Paulo - (Via Marques 21/10/2017),2017,São Paulo,Brazil,No,Yes,Yes,https://www.youtube.com/watch?v=A1idSIc2fZU&list=PL_4CoGd3mdu4HG8vdwJKG5tA4eocLX3gw,
Full Concert - Scandinavium Göteborg 171116,2017,Gothenburg ,Sweden,No,Yes,Yes,https://www.youtube.com/watch?v=BQ0YDqt-Yn8,
Live Poland Rock Festival,2018,Kostrzyn nad Odrą,Poland,No,Yes,Yes,https://www.youtube.com/watch?v=2fcVRhC_IIQ,
Live at Wacken 2018,2018,Wacken ,Germany,Yes,Yes,Yes,https://youtu.be/2Y7KqXX2Cwg?t=499,
"I, The Mask 2019",2019,Saint Petersburg,Russian Federation,No,Yes,Yes,https://www.youtube.com/watch?v=re4xAoNmpws,
"Live @ ГЛАВCLUB Green Concert, Moscow",2019,Moscow,Russian Federation,No,Yes,Yes,https://www.youtube.com/watch?v=c8NUAn7yTgo,
Live 2019 (4K 60fps) @ A2 St.Petersburg,2019,Saint Petersburg,Russian Federation,No,Yes,Yes,https://www.youtube.com/watch?v=-SQjWbOm5WM,
Live Knotfest Meets Forcefest México,2019,México,Mexico,Yes,Yes,Yes,https://www.youtube.com/watch?v=uLp9NBRpkL0,
Live,2019,Portland,United States,No,Yes,Yes,https://www.youtube.com/watch?v=BbWgucaUzaw,
Live @ Center Stage,2019,Atlanta,United States,No,Yes,Yes,https://www.youtube.com/watch?v=n-G8vZN1zXE,
Full Concert in Maryland/Baltimore,2019,Baltimore,United States,No,Yes,Yes,https://www.youtube.com/watch?v=U1gP1T0jkmY,
Borgholm Brinner 2019,2019,,Sweden,Yes,Yes,Yes,https://www.youtube.com/watch?v=OHKtmEi9VLY,
Live In Mexico / Force Fest 2019,2019,México,Mexico,Yes,Yes,Yes,https://www.youtube.com/playlist?list=PLUSc8_5KvMTwwMVmXjiSTbip_VG3NBVVv,
"Phoenix Concert Theatre, Toronto, Canada",2019,Toronto,Canada,Yes,No,Yes,https://www.youtube.com/watch?v=GjYBPrH-O7Q,
Resist 2019 Tour,2019,Toronto,Canada,Yes,No,Yes,https://www.youtube.com/watch?v=Bq4y3V6g6j8,
Saint-Petersburg/2020.03.10,2020,Saint-Petersburg,Russian Federation,No,Yes,Yes,https://www.youtube.com/playlist?list=PLuafZ65Sjm1nN_nkEd5iq_PS7gBHtHS32,
Live In Mexico City - 20-05-2013 - Full Concert,2013,México,Mexico,No,Yes,Yes,https://www.youtube.com/watch?v=AdvcMryneYo,
"Birmingham, AL, USA (1st August, 2002)  ""Furnace Fest""",2002,Birmingham,United States,No,Yes,Yes,https://www.youtube.com/watch?v=x1SLvQaAzD0,Sound only on left side
